suggested_adm2_grouping	adm2
ABERDEEN	ABERDEEN		
ABERDEENSHIRE	ABERDEENSHIRE	
ANGLESEY	ANGLESEY	
ANGUS	ANGUS	
ANTRIM_AND_NEWTOWNABBEY	ANTRIM_AND_NEWTOWNABBEY	
ARGYLL_AND_BUTE	ARGYLL_AND_BUTE	
ARMAGH,_BANBRIDGE_AND_CRAIGAVON	ARMAGH,_BANBRIDGE_AND_CRAIGAVON	
BEDFORDSHIRE	BEDFORDSHIRE	
BELFAST	BELFAST	
BERKSHIRE	BERKSHIRE	
BLAENAU_GWENT	BLAENAU_GWENT	
BRIDGEND	BRIDGEND	
BRISTOL	BRISTOL	
BUCKINGHAMSHIRE	BUCKINGHAMSHIRE	
CAERPHILLY	CAERPHILLY	
CAMBRIDGESHIRE	CAMBRIDGESHIRE	
CARDIFF	CARDIFF	
CARMARTHENSHIRE	CARMARTHENSHIRE	
CAUSEWAY_COAST_AND_GLENS	CAUSEWAY_COAST_AND_GLENS	
CEREDIGION	CEREDIGION	
CHESHIRE	CHESHIRE	
CLACKMANNANSHIRE	CLACKMANNANSHIRE	
CLWYD	CLWYD	
CORNWALL_AND_ISLES_OF_SCILLY	CORNWALL_AND_ISLES_OF_SCILLY	
CUMBRIA	CUMBRIA	
DERBYSHIRE	DERBYSHIRE	
DERRY_AND_STRABANE	DERRY_AND_STRABANE	
DEVON	DEVON	
DORSET	DORSET	
DUMFRIES_AND_GALLOWAY	DUMFRIES_AND_GALLOWAY	
DUNDEE	DUNDEE	
DURHAM	DURHAM	
EAST_AYRSHIRE	EAST_AYRSHIRE	
EAST_DUNBARTONSHIRE	EAST_DUNBARTONSHIRE	
EAST_LOTHIAN	EAST_LOTHIAN	
EAST_RENFREWSHIRE	EAST_RENFREWSHIRE	
EAST_RIDING_OF_YORKSHIRE	EAST_RIDING_OF_YORKSHIRE	
EDINBURGH	EDINBURGH	
EILEAN_SIAR	EILEAN_SIAR	
ESSEX	ESSEX	
FALKIRK	FALKIRK	
FERMANAGH_AND_OMAGH	FERMANAGH_AND_OMAGH	
FIFE	FIFE	
GLASGOW	GLASGOW	
GLOUCESTERSHIRE	GLOUCESTERSHIRE	
GREATER_LONDON	GREATER_LONDON	
GREATER_MANCHESTER	GREATER_MANCHESTER	
GWYNEDD	GWYNEDD	
HAMPSHIRE	HAMPSHIRE	
HEREFORDSHIRE	HEREFORDSHIRE	
HERTFORDSHIRE	HERTFORDSHIRE	
HIGHLAND	HIGHLAND	
INVERCLYDE	INVERCLYDE	
KENT	KENT	
LANCASHIRE	LANCASHIRE	
LEICESTERSHIRE	LEICESTERSHIRE	
LINCOLNSHIRE	LINCOLNSHIRE	
LISBURN_AND_CASTLEREAGH	LISBURN_AND_CASTLEREAGH	
MERSEYSIDE	MERSEYSIDE	
MERTHYR_TYDFIL	MERTHYR_TYDFIL	
MIDLOTHIAN	MIDLOTHIAN	
MID_AND_EAST_ANTRIM	MID_AND_EAST_ANTRIM	
MID_ULSTER	MID_ULSTER	
MONMOUTHSHIRE	MONMOUTHSHIRE	
MORAY	MORAY	
NEATH_PORT_TALBOT	NEATH_PORT_TALBOT	
NEWPORT	NEWPORT	
NEWRY,_MOURNE_AND_DOWN	NEWRY,_MOURNE_AND_DOWN	
NORFOLK	NORFOLK	
NORTHAMPTONSHIRE	NORTHAMPTONSHIRE	
NORTHUMBERLAND	NORTHUMBERLAND	
NORTH_AYRSHIRE	NORTH_AYRSHIRE	
NORTH_DOWN_AND_ARDS	NORTH_DOWN_AND_ARDS	
NORTH_LANARKSHIRE	NORTH_LANARKSHIRE	
NORTH_YORKSHIRE	NORTH_YORKSHIRE	
NOTTINGHAMSHIRE	NOTTINGHAMSHIRE	
ORKNEY_ISLANDS	ORKNEY_ISLANDS	
OXFORDSHIRE	OXFORDSHIRE	
PEMBROKESHIRE	PEMBROKESHIRE	
PERTHSHIRE_AND_KINROSS	PERTHSHIRE_AND_KINROSS	
POWYS	POWYS	
RENFREWSHIRE	RENFREWSHIRE	
RHONDDA,_CYNON,_TAFF	RHONDDA,_CYNON,_TAFF	
SCOTTISH_BORDERS	SCOTTISH_BORDERS	
SHETLAND_ISLANDS	SHETLAND_ISLANDS	
SHROPSHIRE	SHROPSHIRE	
SOMERSET	SOMERSET	
SOUTH_AYRSHIRE	SOUTH_AYRSHIRE	
SOUTH_LANARKSHIRE	SOUTH_LANARKSHIRE	
SOUTH_YORKSHIRE	SOUTH_YORKSHIRE	
STAFFORDSHIRE	STAFFORDSHIRE	
STIRLING	STIRLING	
SUFFOLK	SUFFOLK	
SURREY	SURREY	
SUSSEX	SUSSEX	
SWANSEA	SWANSEA	
TORFAEN	TORFAEN	
TYNE_AND_WEAR	TYNE_AND_WEAR	
VALE_OF_GLAMORGAN	VALE_OF_GLAMORGAN	
WARWICKSHIRE	WARWICKSHIRE	
WEST_DUNBARTONSHIRE	WEST_DUNBARTONSHIRE	
WEST_LOTHIAN	WEST_LOTHIAN	
WEST_MIDLANDS	WEST_MIDLANDS	
WEST_YORKSHIRE	WEST_YORKSHIRE	
WILTSHIRE	WILTSHIRE	
WORCESTERSHIRE	WORCESTERSHIRE	
